"Subject"	"Code"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"logRT"
"15"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	214.75	23801.125	5.31586371383321
"15"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"	12	1	128.9	19894.7	4.85188167866627
"15"	61	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	141.888888888889	13355.6666666667	4.94255958475525
"15"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"	10.9	0.9	142.3	25921.8	4.92858206940772
"15"	61	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"	12	1	192.888888888889	17972.1111111111	5.23842111149385
"15"	62	"congruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	145.909090909091	15271.6363636364	4.96717531668353
"15"	62	"congruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	136.5	19628.625	4.91350856842635
"15"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"	11	1	181.454545454545	20188.2727272727	5.1203779067049
"15"	62	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"	11	1	237	25532.875	5.45041070269178
"15"	63	"congruent"	"Name"	"Male"	"White"	NA	"Stay"	11.0769230769231	1	134.769230769231	15821.6923076923	4.89103396496894
"15"	63	"congruent"	"Name"	"Male"	"White"	NA	"Switch"	8.4	0.7	125.4	18299.4	4.80052699346626
"15"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"	10.3846153846154	0.923076923076923	149	20820.0769230769	4.98245628857797
"15"	63	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"	10.2	0.9	229	23915.1	5.38228082475417
"15"	70	"congruent"	"Word"	NA	NA	"Bad"	"Stay"	9.25	0.75	129.5	20806.25	4.8579077428136
"15"	70	"congruent"	"Word"	NA	NA	"Bad"	"Switch"	12	1	160.866666666667	16822.6666666667	5.06239667191508
"15"	70	"congruent"	"Word"	NA	NA	"Bad"	NA	12	1	147	341	4.99043258677874
"15"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"	11	1	208.25	26873	5.31798665172585
"15"	70	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"	9.8	0.866666666666667	265.133333333333	22045.2666666667	5.54291532195296
"15"	70	"incongruent"	"Word"	NA	NA	"Bad"	NA	11	1	529	299	6.2709884318583
"15"	80	"congruent"	"Word"	NA	NA	"Good"	"Stay"	11	1	138	621	4.92725368515721
"15"	80	"congruent"	"Word"	NA	NA	"Good"	"Switch"	11	1	151.473684210526	18072.8421052632	5.00317097554423
"15"	80	"incongruent"	"Word"	NA	NA	"Good"	"Stay"	12	1	324	959	5.78074351579233
"15"	80	"incongruent"	"Word"	NA	NA	"Good"	"Switch"	12	1	288.210526315789	23574.5789473684	5.5916188485675
"16"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	141.083333333333	17461.0833333333	4.94035128592643
"16"	60	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	184.125	20116.125	5.18916447543655
"16"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"	11.0833333333333	0.916666666666667	153.833333333333	18717	4.99235060825438
"16"	60	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"	12	1	163.75	21550.75	5.08841404337761
